Real Image,Fake Image,SSIM Score
real_images/23933.jpg,fake_colorized_images/23933.jpg,0.80445504573897
real_images/20584.jpg,fake_colorized_images/20584.jpg,0.6922760167972836
real_images/21842.jpg,fake_colorized_images/21842.jpg,0.8649769395722982
real_images/22393.jpg,fake_colorized_images/22393.jpg,0.8363629291585809
real_images/22387.jpg,fake_colorized_images/22387.jpg,0.8553644520664894
real_images/20590.jpg,fake_colorized_images/20590.jpg,0.8164788094981756
real_images/21856.jpg,fake_colorized_images/21856.jpg,0.7885574111587104
real_images/23927.jpg,fake_colorized_images/23927.jpg,0.7773679647568099
real_images/20221.jpg,fake_colorized_images/20221.jpg,0.8277811276814805
real_images/22436.jpg,fake_colorized_images/22436.jpg,0.845648618721536
real_images/23728.jpg,fake_colorized_images/23728.jpg,0.7239269171994587
real_images/24047.jpg,fake_colorized_images/24047.jpg,0.8505250929474911
real_images/22350.jpg,fake_colorized_images/22350.jpg,0.6725811336797185
real_images/21659.jpg,fake_colorized_images/21659.jpg,0.7668977304110765
real_images/21881.jpg,fake_colorized_images/21881.jpg,0.8903485982475393
real_images/20553.jpg,fake_colorized_images/20553.jpg,0.5770106137783989
real_images/21895.jpg,fake_colorized_images/21895.jpg,0.6314907658064038
real_images/24053.jpg,fake_colorized_images/24053.jpg,0.8668747149141552
real_images/23714.jpg,fake_colorized_images/23714.jpg,0.8557299102380205
real_images/21665.jpg,fake_colorized_images/21665.jpg,0.884184483765582
real_images/23072.jpg,fake_colorized_images/23072.jpg,0.6883739197048871
real_images/22378.jpg,fake_colorized_images/22378.jpg,0.8664267658655129
real_images/21671.jpg,fake_colorized_images/21671.jpg,0.8119747196158213
real_images/20209.jpg,fake_colorized_images/20209.jpg,0.813776804254956
real_images/23700.jpg,fake_colorized_images/23700.jpg,0.7189932789732879
real_images/22191.jpg,fake_colorized_images/22191.jpg,0.9097496593795641
real_images/21498.jpg,fake_colorized_images/21498.jpg,0.7497236056190149
real_images/24286.jpg,fake_colorized_images/24286.jpg,0.833893164532347
real_images/24292.jpg,fake_colorized_images/24292.jpg,0.7793394520597536
real_images/22185.jpg,fake_colorized_images/22185.jpg,0.9004604755840476
real_images/20962.jpg,fake_colorized_images/20962.jpg,0.8484511219961094
real_images/22813.jpg,fake_colorized_images/22813.jpg,0.8185585406955231
real_images/22807.jpg,fake_colorized_images/22807.jpg,0.9063442370765032
real_images/20976.jpg,fake_colorized_images/20976.jpg,0.72239621764967
real_images/20745.jpg,fake_colorized_images/20745.jpg,0.8816949109193668
real_images/22152.jpg,fake_colorized_images/22152.jpg,0.8312525956173631
real_images/24245.jpg,fake_colorized_images/24245.jpg,0.8395995299176454
real_images/22634.jpg,fake_colorized_images/22634.jpg,0.8718709631551871
real_images/21329.jpg,fake_colorized_images/21329.jpg,0.8425692484862178
real_images/24251.jpg,fake_colorized_images/24251.jpg,0.699510497961585
real_images/22620.jpg,fake_colorized_images/22620.jpg,0.8383840603375243
real_images/20751.jpg,fake_colorized_images/20751.jpg,0.7187245937393246
real_images/20989.jpg,fake_colorized_images/20989.jpg,0.896917706467283
real_images/23270.jpg,fake_colorized_images/23270.jpg,0.7337741424042721
real_images/20779.jpg,fake_colorized_images/20779.jpg,0.6696709528140564
real_images/21301.jpg,fake_colorized_images/21301.jpg,0.8926454575432777
real_images/24279.jpg,fake_colorized_images/24279.jpg,0.8647788353364599
real_images/23516.jpg,fake_colorized_images/23516.jpg,0.8057674055015381
real_images/22608.jpg,fake_colorized_images/22608.jpg,0.8941935195871943
real_images/23502.jpg,fake_colorized_images/23502.jpg,0.7920266074359871
real_images/21473.jpg,fake_colorized_images/21473.jpg,0.901378949777553
real_images/20194.jpg,fake_colorized_images/20194.jpg,0.7909205064742557
real_images/23489.jpg,fake_colorized_images/23489.jpg,0.9092833642080673
real_images/22797.jpg,fake_colorized_images/22797.jpg,0.7293726524345714
real_images/20816.jpg,fake_colorized_images/20816.jpg,0.7986859391575644
real_images/22967.jpg,fake_colorized_images/22967.jpg,0.8053392276672079
real_images/22973.jpg,fake_colorized_images/22973.jpg,0.7068442550275617
real_images/20802.jpg,fake_colorized_images/20802.jpg,0.8245077019535134
real_images/20631.jpg,fake_colorized_images/20631.jpg,0.6750375864367262
real_images/23338.jpg,fake_colorized_images/23338.jpg,0.877541750353273
real_images/22026.jpg,fake_colorized_images/22026.jpg,0.840077242823692
real_images/22740.jpg,fake_colorized_images/22740.jpg,0.8953443440909357
real_images/22998.jpg,fake_colorized_images/22998.jpg,0.7815037257911082
real_images/20157.jpg,fake_colorized_images/20157.jpg,0.860222897150309
real_images/22754.jpg,fake_colorized_images/22754.jpg,0.7352646322379943
real_images/24325.jpg,fake_colorized_images/24325.jpg,0.8715748566937033
real_images/22032.jpg,fake_colorized_images/22032.jpg,0.8372867630702254
real_images/23304.jpg,fake_colorized_images/23304.jpg,0.7830435062434018
real_images/21513.jpg,fake_colorized_images/21513.jpg,0.9084743281366761
real_images/23462.jpg,fake_colorized_images/23462.jpg,0.7228243102264398
real_images/22768.jpg,fake_colorized_images/22768.jpg,0.8139283781878677
real_images/23476.jpg,fake_colorized_images/23476.jpg,0.7295282571499122
real_images/24319.jpg,fake_colorized_images/24319.jpg,0.8477463607972668
real_images/21507.jpg,fake_colorized_images/21507.jpg,0.7208799669003377
real_images/20619.jpg,fake_colorized_images/20619.jpg,0.8554651841731797
real_images/23310.jpg,fake_colorized_images/23310.jpg,0.774064473908941
real_images/22581.jpg,fake_colorized_images/22581.jpg,0.841856665959888
real_images/21936.jpg,fake_colorized_images/21936.jpg,0.811602185774331
real_images/20382.jpg,fake_colorized_images/20382.jpg,0.7954376976625953
real_images/22595.jpg,fake_colorized_images/22595.jpg,0.7319947225713253
real_images/23853.jpg,fake_colorized_images/23853.jpg,0.8506779066557244
real_images/20355.jpg,fake_colorized_images/20355.jpg,0.8250222298638555
real_images/24133.jpg,fake_colorized_images/24133.jpg,0.7720323641234086
